name,full_name,ra,dec,size_arcmin,mag,type,subtype,constellation,filter_boost,why,tip
M104,M104 – Sombrero Galaxy,12:39:59,-11:37,9,8.0,galaxy,spiral,Virgo,False,Iconic edge-on galaxy with a massive dust lane.,Longer focal lengths (700mm+) bring out the dust lane detail.
M64,M64 – Black Eye Galaxy,12:56:44,+21:41,10,8.5,galaxy,spiral,Coma Ber.,False,Distinctive dark dust lane near the nucleus gives this galaxy its famous look.,Medium focal length resolves the dust lane clearly.
M63,M63 – Sunflower Galaxy,13:15:49,+42:02,13,8.6,galaxy,spiral,CVn,False,Beautiful flocculent spiral with a bright core and complex arm structure.,Medium focal length (600-900mm). 3h+ brings out the arm texture.
M94,M94 – Croc's Eye Galaxy,12:50:53,+41:07,11,8.2,galaxy,spiral,CVn,False,Bright galaxy with a starburst ring around a very compact core.,The inner starburst ring is bright — use HDR technique or multiple exposure lengths.
M106,M106 – NGC 4258,12:18:57,+47:18,19,8.4,galaxy,spiral,CVn,False,Large bright galaxy with anomalous arms detected in radio. Rich field with many background galaxies.,Longer focal length rewards with arm and dust lane detail. Ha reveals the anomalous arms.
NGC4565,NGC 4565 – Needle Galaxy,12:36:20,+25:59,16,9.6,galaxy,spiral,Coma Ber.,False,Textbook edge-on spiral with a beautifully thin disk and central bulge.,Medium focal length (500-800mm) is ideal. Long integration reveals faint dust extensions.
NGC891,NGC 891 – Silver Sliver,2:22:33,+42:21,14,9.9,galaxy,spiral,Andromeda,False,Perfect edge-on spiral with a dramatic central dust lane.,Longer focal length is better. Very faint — 4h+ integration recommended.
NGC4631,NGC 4631 – Whale Galaxy,12:42:08,+32:32,16,9.2,galaxy,spiral,CVn,False,Edge-on galaxy with a distinctive whale-like shape. Companion NGC 4627 nearby.,Medium focal length (500-700mm). Pairs with NGC 4656 (Hockey Stick) nearby.
NGC4656,NGC 4656 – Hockey Stick,12:44:00,+32:10,15,9.7,galaxy,irregular,CVn,False,Warped edge-on galaxy nicknamed the Hockey Stick. Interacting with NGC 4631.,Frame with NGC 4631 at ~350mm for a dramatic interacting pair.
NGC2903,NGC 2903,9:32:10,+21:30,12,8.9,galaxy,spiral,Leo,False,Bright barred spiral often overlooked in favour of Leo Triplet.,Medium focal length (600-900mm). Well-placed in spring skies.
M65,M65 – Leo Triplet member,11:18:56,+13:05,10,9.3,galaxy,spiral,Leo,False,Part of the famous Leo Triplet. Bright and well-defined spiral.,"Frame all three (M65, M66, NGC 3628) at ~350mm for the full Triplet."
M66,M66 – Leo Triplet member,11:20:15,+12:59,9,8.9,galaxy,spiral,Leo,False,Brightest of the Leo Triplet. Disturbed spiral arms from gravitational interaction.,Frame with M65 and NGC 3628 at ~350mm.
NGC3628,NGC 3628 – Hamburger Galaxy,11:20:17,+13:35,15,9.5,galaxy,spiral,Leo,False,Edge-on member of the Leo Triplet with a distinctive dark dust lane.,The faint tidal tail pointing north is a challenge requiring 5h+ integration.
M49,M49 – Virgo Cluster giant,12:29:47,+8:00,9,8.4,galaxy,elliptical,Virgo,False,Brightest galaxy in the Virgo Cluster. Large elliptical with a smooth halo.,Medium focal length. Part of wider Virgo Cluster fields.
M87,M87 – Virgo A,12:30:49,+12:23,7,8.6,galaxy,elliptical,Virgo,False,Famous giant elliptical with a relativistic jet (requires very long integration). Host of the first imaged black hole.,Very long integration reveals the jet. Medium to long focal length.
NGC4038,NGC 4038/39 – Antennae,12:01:53,-18:52,3,10.3,galaxy,irregular,Corvus,False,Iconic interacting pair of galaxies mid-merger. Two tidal tails extend dramatically.,Small but bright core. Needs 800mm+ to separate the two nuclei. Dark skies.
M77,M77 – Cetus A,2:42:41,-0:01,7,8.9,galaxy,spiral,Cetus,False,Bright Seyfert galaxy with an active nucleus. Relatively compact.,Medium focal length (600-900mm). Autumn target.
NGC253,NGC 253 – Sculptor Galaxy,0:47:33,-25:17,28,7.1,galaxy,spiral,Sculptor,False,One of the brightest spirals in the sky. Very large dust lanes visible. Low from mid-latitudes.,Low from Bulgaria (~10-15°) — image when highest. Incredible detail when conditions are good.
NGC300,NGC 300,0:54:54,-37:41,22,8.1,galaxy,spiral,Sculptor,False,Face-on spiral in Sculptor. Very low from mid-European latitudes.,Very low — only worth attempting from southern sites or with exceptional conditions.
M74,M74 – Phantom Galaxy,1:36:42,+15:47,10,9.4,galaxy,spiral,Pisces,False,Perfect face-on grand design spiral. One of the least luminous Messier galaxies — requires dark skies.,Very low surface brightness — needs pristine skies and 4h+ integration.
NGC7331,NGC 7331,22:37:05,+34:25,11,9.5,galaxy,spiral,Pegasus,False,Bright edge-on spiral. The Stephan's Quintet galaxy group lies nearby in the same frame.,Frame to include Stephan's Quintet at lower right at ~400mm. Rich detail in the dust lanes.
NGC7317,Stephan's Quintet,22:35:57,+33:57,4,13.0,galaxy,interacting,Pegasus,False,Famous compact group of five interacting galaxies. Requires long focal length and dark skies.,Needs 800mm+ to resolve individual galaxies. Long integration mandatory.
M84,M84 – Markarian's Chain,12:25:04,+12:53,7,9.1,galaxy,elliptical,Virgo,False,Part of the famous Markarian's Chain — a sweeping arc of Virgo Cluster galaxies.,"Wide-field (250-400mm) captures the full chain with M84, M86, M87 and more."
IC342,IC 342 – Hidden Galaxy,3:46:48,+68:06,21,9.1,galaxy,spiral,Camelopardalis,False,Large face-on spiral hidden behind Milky Way dust. Surprisingly bright given extinction.,Broadband only. The dust reddening actually adds warmth to the image.
M13,M13 – Great Hercules Cluster,16:41:41,+36:28,20,5.8,cluster,globular,Hercules,False,The finest globular cluster in the northern sky. Fully resolved at moderate focal lengths.,500-800mm shows individual stars beautifully. No filter needed.
M92,M92 – Second Hercules Cluster,17:17:07,+43:08,14,6.4,cluster,globular,Hercules,False,Often overlooked next to M13 but stunning in its own right.,Pair with M13 in one frame at ~250mm for a striking two-globular composition.
M3,M3 – Great CVn Globular,13:42:11,+28:23,18,6.2,cluster,globular,CVn,False,"One of the largest and brightest globulars, with a beautiful dense core.",Well-resolved at 500mm+. Spring's best globular cluster target.
M5,M5 – Serpens Globular,15:18:34,+2:05,23,5.6,cluster,globular,Serpens,False,Rivals M13 in brightness and beauty. Rich star field and well-resolved halo.,Often underappreciated — compare with M13 for a fun imaging project.
M4,M4 – Scorpius Globular,16:23:35,-26:32,36,5.4,cluster,globular,Scorpius,False,One of the closest globulars to Earth. Loose structure with a distinctive bar of stars.,Low from mid-latitudes — image when highest. Wide field shows its loose texture.
M22,M22 – Sagittarius Cluster,18:36:24,-23:54,32,5.1,cluster,globular,Sagittarius,False,One of the finest southern globulars. Often overlooked compared to M13.,Low from mid-latitudes. Rich field with Milky Way background.
M15,M15 – Pegasus Globular,21:29:58,+12:10,18,6.2,cluster,globular,Pegasus,False,One of the most densely concentrated globulars. Bright and well-resolved.,Medium focal length (500-800mm). Autumn target.
M2,M2 – Aquarius Globular,21:33:27,-0:49,16,6.5,cluster,globular,Aquarius,False,One of the largest globular clusters in the Milky Way. Autumn target.,Medium focal length resolves well. Rich background star field.
M10,M10 – Ophiuchus Globular,16:57:09,-4:06,20,6.6,cluster,globular,Ophiuchus,False,Bright globular cluster in Ophiuchus. Pairs with nearby M12 for wide-field compositions.,Frame with M12 at ~250mm for a globular pair composition.
M12,M12 – Ophiuchus Globular,16:47:14,-1:57,16,6.7,cluster,globular,Ophiuchus,False,Loose globular cluster near M10. Individual stars resolve at lower focal lengths.,Pairs with M10 at ~250mm.
M14,M14 – Ophiuchus Globular,17:37:36,-3:15,12,7.6,cluster,globular,Ophiuchus,False,Moderately concentrated globular. Less visited but rewarding with enough integration.,Medium focal length (500-800mm).
M19,M19 – Ophiuchus Globular,17:02:38,-26:16,17,6.8,cluster,globular,Ophiuchus,False,One of the most oblate globular clusters — noticeably flattened.,Low from mid-latitudes. Medium focal length.
M53,M53 – Coma Globular,13:12:55,+18:10,13,7.6,cluster,globular,Coma Ber.,False,Distant globular cluster. NGC 5053 lies nearby — an interesting pair.,Pairs with faint NGC 5053 at ~300mm. Spring target.
M56,M56 – Lyra Globular,19:16:36,+30:11,7,8.3,cluster,globular,Lyra,False,Compact globular in Lyra. Can be framed with M57 in a single wide-field shot.,Frame with M57 Ring Nebula at ~200mm for an interesting composition.
M68,M68 – Hydra Globular,12:39:28,-26:45,12,7.8,cluster,globular,Hydra,False,Southern globular — low from mid-European latitudes but bright.,Best from southern Europe. Low altitude means more atmospheric distortion.
M71,M71 – Sagitta Globular,19:53:46,+18:47,7,8.3,cluster,globular,Sagitta,False,Loose globular that was once classified as a rich open cluster.,Medium focal length. Summer target.
M107,M107 – Ophiuchus Globular,16:32:32,-13:04,10,7.9,cluster,globular,Ophiuchus,False,Relatively loose southern globular.,Medium focal length (500-700mm).
NGC6752,NGC 6752 – Southern Globular,19:10:52,-59:59,20,5.4,cluster,globular,Pavo,False,One of the finest globulars in the southern hemisphere — too low from mid-European latitudes.,Only accessible from southern Europe or further south.
NGC869,NGC 869/884 – Double Cluster,2:20:00,+57:08,60,4.3,cluster,open,Perseus,False,Two rich open clusters side by side — one of the most stunning wide-field targets.,Perfect at 200-400mm. Circumpolar from Bulgaria — accessible all year.
M45,M45 – Pleiades,3:47:24,+24:07,110,1.6,cluster,open,Taurus,False,The most famous open cluster. Blue reflection nebulosity around the stars is a beautiful bonus.,Very wide field needed (150-300mm). Longer exposure brings out the blue nebulosity.
M44,M44 – Beehive Cluster,8:40:06,+19:40,95,3.7,cluster,open,Cancer,False,Large naked-eye open cluster. Best at short focal lengths.,Very wide field (150-250mm). Spring target.
M35,M35 + NGC 2158,6:08:54,+24:20,28,5.3,cluster,open,Gemini,False,Foreground open cluster with a compressed background cluster — great depth effect.,Medium focal length (400-600mm) resolves both clusters beautifully.
M36,M36 – Auriga Cluster,5:36:18,+34:08,12,6.0,cluster,open,Auriga,False,One of three Messier clusters in Auriga. Often imaged together with M37 and M38.,Wide field (~300mm) captures all three Auriga clusters together.
M37,M37 – Richest Auriga Cluster,5:52:18,+32:33,24,5.6,cluster,open,Auriga,False,Richest of the Auriga trio. Very dense and rewarding at medium focal lengths.,Medium focal length (400-600mm) for the best detail.
M38,M38 – Auriga Cluster,5:28:42,+35:50,21,6.4,cluster,open,Auriga,False,Third of the Auriga trio. Contains a faint background cluster NGC 1907.,Include NGC 1907 at medium focal length.
M11,M11 – Wild Duck Cluster,18:51:06,-6:16,14,5.8,cluster,open,Scutum,False,Extremely rich open cluster — one of the densest in the Milky Way.,Medium focal length brings out the fan-shaped richness. No filter needed.
M39,M39 – Cygnus Cluster,21:31:48,+48:26,32,4.6,cluster,open,Cygnus,False,"Large, loose open cluster. Very wide field needed to frame it well.",Short focal length (150-250mm). Summer/autumn target.
M41,M41 – Sirius Cluster,6:46:00,-20:46,38,4.5,cluster,open,Canis Major,False,Bright open cluster near Sirius. Often imaged with Sirius in the frame.,Wide field (200-350mm). Can include Sirius for scale and color contrast.
M46,M46 + M47,7:41:46,-14:49,27,6.1,cluster,open,Puppis,False,Two open clusters in the same wide field. M46 contains a foreground planetary nebula (NGC 2438).,Frame both at ~300mm. The planetary nebula in M46 is a bonus with narrowband filter.
M50,M50 – Heart-Shaped Cluster,7:02:42,-8:20,16,5.9,cluster,open,Monoceros,False,Rich open cluster with a distinctive heart shape in long exposures.,Medium focal length (400-600mm). Winter target.
M67,M67 – Ancient Open Cluster,8:51:18,+11:49,30,6.9,cluster,open,Cancer,False,One of the oldest known open clusters. Still well-populated despite its age.,Medium focal length (400-600mm). Spring target.
Mel111,Mel 111 – Coma Cluster,12:25:06,+26:06,275,1.8,cluster,open,Coma Ber.,False,Enormous naked-eye cluster — only very short focal lengths can frame it entirely.,RedCat-style wide-angle instruments ideal. Pure broadband.
NGC6231,NGC 6231 – Northern Jewel Box,16:54:00,-41:48,15,2.6,cluster,open,Scorpius,False,One of the finest open clusters in the southern sky. Very low from mid-European latitudes.,Only accessible from southern Europe or with exceptional conditions.
NGC3532,NGC 3532 – Wishing Well Cluster,11:06:24,-58:40,55,3.0,cluster,open,Carina,False,One of the richest open clusters — southern sky only.,Not visible from Bulgaria.
Stock2,Stock 2 – Muscleman Cluster,2:15:00,+59:30,60,4.4,cluster,open,Perseus,False,"Large, loose open cluster near the Double Cluster. Circumpolar from mid-latitudes.",Wide field (150-250mm). Often included when imaging the Perseus Double Cluster area.
NGC752,NGC 752 – Golf Club Cluster,1:57:41,+37:41,50,5.7,cluster,open,Andromeda,False,"Large, scattered open cluster. Best at short focal lengths.",Wide field (200-300mm). Autumn target.
M29,M29 – Cygnus Cluster,20:23:54,+38:32,7,6.6,cluster,open,Cygnus,False,Small open cluster near Sadr. Often embedded in emission nebula at wide field.,Short to medium focal length. Include in wider Cygnus nebula frames.
M93,M93 – Puppis Cluster,7:44:30,-23:52,22,6.2,cluster,open,Puppis,False,Rich open cluster in Puppis. Low from mid-European latitudes.,Medium focal length (400-600mm). Winter target.
